Site,s_graph_value,s_table_name
ARM_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_59107
ARM_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_32213
BAC_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_67913
BAC_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_46017
BACD100_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_71959
BACD100_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_50063
BACD200_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_72197
BACD200_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_50301
BACD25_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_60773
BACD25_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_38401
BACD300_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_72435
BACD300_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_50539
BACD400_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_72911
BACD400_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_51015
BACD50_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_60535
BACD50_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_38163
BACD500_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_71007
BACD500_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_49111
BACD600_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_73387
BACD600_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_51491
BACD700_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_73863
BACD700_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_51967
BACU100_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_74577
BACU100_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_52681
BACU150_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_71483
BACU150_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_49587
BACU200_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_73625
BACU200_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_51729
BACU300_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_71245
BACU300_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_49349
BACU400_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_72673
BACU400_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_50777
BACU50_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_71721
BACU50_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_49825
BACU600_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_73149
BACU600_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_51253
BC11_1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_55061
BC11_1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_32927
BC11_2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_55299
BC11_2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_33165
BC11_3_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_55537
BC11_3_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_33403
BC11_4_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_55775
BC11_4_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_33641
BC11_5_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_56013
BC11_5_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_33879
BC11_6_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_56251
BC11_6_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_34117
BC11_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_54823
BC11_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_32689
BC12_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_54585
BC12_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_32451
BLA_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_58869
BLA_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_36735
CAS_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_69817
CAS_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_47921
CASMID_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_67675
CASMID_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_45779
CAV_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_58155
CAV_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_36021
CSBP1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_56489
CSBP1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_34355
CSBP2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_56727
CSBP2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_34593
CSBP3_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_56965
CSBP3_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_34831
CSBP4_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_57203
CSBP4_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_35069
ELL_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_68151
ELL_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_46255
ELLAM_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_75291
ELLAM_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_53395
ELLD50_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_78385
ELLD50_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_80527
FP1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_82151
FP1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_81913
FP13_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_64343
FP13_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_41971
FP2.1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_84055
FP2.1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_83817
FP2.2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_84531
FP2.2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_84293
FP2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_65533
FP2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_43637
FP3_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_65771
FP3_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_43875
FP3B_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_63867
FP3B_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_41495
FP3C_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_64105
FP3C_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_41733
FP4_1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_57917
FP4_1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_35783
FP4_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_66009
FP4_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_44113
FP5_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_66247
FP5_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_44351
FP6_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_66485
FP6_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_44589
FP7_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_83579
FP7_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_83341
GRE_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_68389
GRE_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_46493
HEA_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_62439
HEA_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_40067
HES_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_68627
HES_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_46731
JBC_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_75529
JBC_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_53633
KBT14_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_57441
KBT14_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_35307
KBT15_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_57679
KBT15_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_35545
KEN_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_67437
KEN_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_45541
KENU150_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_74101
KENU150_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_52205
KENU300_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_74339
KENU300_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_52443
KIN_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_61249
KIN_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_38877
KMO_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_63629
KMO_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_41257
KS7_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_76957
KS7_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_76481
KS9_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_77195
KS9_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_76719
LLH_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_58631
LLH_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_36497
MACD50_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_78623
MACD50_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_80765
MAS_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_68865
MAS_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_46969
MASD50_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_79099
MASD50_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_81241
MAY_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_60059
MAY_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_37687
MEAD_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_78147
MEAD_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_80289
MENDD_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_70769
MENDD_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_48873
MSB_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_61011
MSB_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_38639
MULB_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_60297
MULB_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_37925
NAR_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_59345
NAR_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_36973
NIC_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_61487
NIC_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_39115
NICD200_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_69341
NICD200_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_47445
NIL_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_59583
NIL_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_37211
NQ1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_64819
NQ1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_42923
NQ2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_65057
NQ2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_43161
P3_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_70531
P3_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_48635
PAC_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_79337
PAC_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_81479
PB10_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_67199
PB10_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_45303
PO2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_70055
PO2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_48159
PO3_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_70293
PO3_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_48397
POL_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_75053
POL_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_53157
PRISPT_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_59821
PRISPT_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_37449
RB1_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_69103
RB1_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_47207
REG_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_58393
REG_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_36259
RIV_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_61725
RIV_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_39353
RON_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_62915
RON_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_40543
RON2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_76243
RON2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_54347
SAL_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_61963
SAL_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_39591
SANDBR_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_74815
SANDBR_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_52919
SB9_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_66961
SB9_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_45065
SCB_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_69579
SCB_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_47683
SCB2_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_78861
SCB2_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_81003
SCS01_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_75767
SCS01_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_53871
SHELL_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_77671
SHELL_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_79813
