Site,s_graph_value,s_table_name
STJ_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_62677
STJ_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_40305
SUC_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_63153
SUC_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_40781
VIT_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_64581
VIT_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_42209
WAYB_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_77909
WAYB_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_80051
WBRP_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_76005
WBRP_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_54109
WHA_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_63391
WHA_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_41019
WMP_b,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_62201
WMP_s,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_39829
ARM_b,Chlorophyll a (in situ) (ug/L),sensor_repository_59136
ARM_s,Chlorophyll a (in situ) (ug/L),sensor_repository_32242
BAC_b,Chlorophyll a (in situ) (ug/L),sensor_repository_67942
BAC_s,Chlorophyll a (in situ) (ug/L),sensor_repository_46046
BACD100_b,Chlorophyll a (in situ) (ug/L),sensor_repository_71988
BACD100_s,Chlorophyll a (in situ) (ug/L),sensor_repository_50092
BACD200_b,Chlorophyll a (in situ) (ug/L),sensor_repository_72226
BACD200_s,Chlorophyll a (in situ) (ug/L),sensor_repository_50330
BACD25_b,Chlorophyll a (in situ) (ug/L),sensor_repository_60802
BACD25_s,Chlorophyll a (in situ) (ug/L),sensor_repository_38430
BACD300_b,Chlorophyll a (in situ) (ug/L),sensor_repository_72464
BACD300_s,Chlorophyll a (in situ) (ug/L),sensor_repository_50568
BACD400_b,Chlorophyll a (in situ) (ug/L),sensor_repository_72940
BACD400_s,Chlorophyll a (in situ) (ug/L),sensor_repository_51044
BACD50_b,Chlorophyll a (in situ) (ug/L),sensor_repository_60564
BACD50_s,Chlorophyll a (in situ) (ug/L),sensor_repository_38192
BACD500_b,Chlorophyll a (in situ) (ug/L),sensor_repository_71036
BACD500_s,Chlorophyll a (in situ) (ug/L),sensor_repository_49140
BACD600_b,Chlorophyll a (in situ) (ug/L),sensor_repository_73416
BACD600_s,Chlorophyll a (in situ) (ug/L),sensor_repository_51520
BACD700_b,Chlorophyll a (in situ) (ug/L),sensor_repository_73892
BACD700_s,Chlorophyll a (in situ) (ug/L),sensor_repository_51996
BACU100_b,Chlorophyll a (in situ) (ug/L),sensor_repository_74606
BACU100_s,Chlorophyll a (in situ) (ug/L),sensor_repository_52710
BACU150_b,Chlorophyll a (in situ) (ug/L),sensor_repository_71512
BACU150_s,Chlorophyll a (in situ) (ug/L),sensor_repository_49616
BACU200_b,Chlorophyll a (in situ) (ug/L),sensor_repository_73654
BACU200_s,Chlorophyll a (in situ) (ug/L),sensor_repository_51758
BACU300_b,Chlorophyll a (in situ) (ug/L),sensor_repository_71274
BACU300_s,Chlorophyll a (in situ) (ug/L),sensor_repository_49378
BACU400_b,Chlorophyll a (in situ) (ug/L),sensor_repository_72702
BACU400_s,Chlorophyll a (in situ) (ug/L),sensor_repository_50806
BACU50_b,Chlorophyll a (in situ) (ug/L),sensor_repository_71750
BACU50_s,Chlorophyll a (in situ) (ug/L),sensor_repository_49854
BACU600_b,Chlorophyll a (in situ) (ug/L),sensor_repository_73178
BACU600_s,Chlorophyll a (in situ) (ug/L),sensor_repository_51282
BC11_1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_55090
BC11_1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_32956
BC11_2_b,Chlorophyll a (in situ) (ug/L),sensor_repository_55328
BC11_2_s,Chlorophyll a (in situ) (ug/L),sensor_repository_33194
BC11_3_b,Chlorophyll a (in situ) (ug/L),sensor_repository_55566
BC11_3_s,Chlorophyll a (in situ) (ug/L),sensor_repository_33432
BC11_4_b,Chlorophyll a (in situ) (ug/L),sensor_repository_55804
BC11_4_s,Chlorophyll a (in situ) (ug/L),sensor_repository_33670
BC11_5_b,Chlorophyll a (in situ) (ug/L),sensor_repository_56042
BC11_5_s,Chlorophyll a (in situ) (ug/L),sensor_repository_33908
BC11_6_b,Chlorophyll a (in situ) (ug/L),sensor_repository_56280
BC11_6_s,Chlorophyll a (in situ) (ug/L),sensor_repository_34146
BC11_b,Chlorophyll a (in situ) (ug/L),sensor_repository_54852
BC11_s,Chlorophyll a (in situ) (ug/L),sensor_repository_32718
BC12_b,Chlorophyll a (in situ) (ug/L),sensor_repository_54614
BC12_s,Chlorophyll a (in situ) (ug/L),sensor_repository_32480
BLA_b,Chlorophyll a (in situ) (ug/L),sensor_repository_58898
BLA_s,Chlorophyll a (in situ) (ug/L),sensor_repository_36764
CAS_b,Chlorophyll a (in situ) (ug/L),sensor_repository_69846
CAS_s,Chlorophyll a (in situ) (ug/L),sensor_repository_47950
CASMID_b,Chlorophyll a (in situ) (ug/L),sensor_repository_67704
CASMID_s,Chlorophyll a (in situ) (ug/L),sensor_repository_45808
CAV_b,Chlorophyll a (in situ) (ug/L),sensor_repository_58184
CAV_s,Chlorophyll a (in situ) (ug/L),sensor_repository_36050
CSBP1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_56518
CSBP1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_34384
CSBP2_b,Chlorophyll a (in situ) (ug/L),sensor_repository_56756
CSBP2_s,Chlorophyll a (in situ) (ug/L),sensor_repository_34622
CSBP3_b,Chlorophyll a (in situ) (ug/L),sensor_repository_56994
CSBP3_s,Chlorophyll a (in situ) (ug/L),sensor_repository_34860
CSBP4_b,Chlorophyll a (in situ) (ug/L),sensor_repository_57232
CSBP4_s,Chlorophyll a (in situ) (ug/L),sensor_repository_35098
ELL_b,Chlorophyll a (in situ) (ug/L),sensor_repository_68180
ELL_s,Chlorophyll a (in situ) (ug/L),sensor_repository_46284
ELLAM_b,Chlorophyll a (in situ) (ug/L),sensor_repository_75320
ELLAM_s,Chlorophyll a (in situ) (ug/L),sensor_repository_53424
ELLD50_b,Chlorophyll a (in situ) (ug/L),sensor_repository_78414
ELLD50_s,Chlorophyll a (in situ) (ug/L),sensor_repository_80556
FP1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_82180
FP1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_81942
FP13_b,Chlorophyll a (in situ) (ug/L),sensor_repository_64372
FP13_s,Chlorophyll a (in situ) (ug/L),sensor_repository_42000
FP2.1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_84084
FP2.1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_83846
FP2.2_b,Chlorophyll a (in situ) (ug/L),sensor_repository_84560
FP2.2_s,Chlorophyll a (in situ) (ug/L),sensor_repository_84322
FP2_b,Chlorophyll a (in situ) (ug/L),sensor_repository_65562
FP2_s,Chlorophyll a (in situ) (ug/L),sensor_repository_43666
FP3_b,Chlorophyll a (in situ) (ug/L),sensor_repository_65800
FP3_s,Chlorophyll a (in situ) (ug/L),sensor_repository_43904
FP3B_b,Chlorophyll a (in situ) (ug/L),sensor_repository_63896
FP3B_s,Chlorophyll a (in situ) (ug/L),sensor_repository_41524
FP3C_b,Chlorophyll a (in situ) (ug/L),sensor_repository_64134
FP3C_s,Chlorophyll a (in situ) (ug/L),sensor_repository_41762
FP4_1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_57946
FP4_1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_35812
FP4_b,Chlorophyll a (in situ) (ug/L),sensor_repository_66038
FP4_s,Chlorophyll a (in situ) (ug/L),sensor_repository_44142
FP5_b,Chlorophyll a (in situ) (ug/L),sensor_repository_66276
FP5_s,Chlorophyll a (in situ) (ug/L),sensor_repository_44380
FP6_b,Chlorophyll a (in situ) (ug/L),sensor_repository_66514
FP6_s,Chlorophyll a (in situ) (ug/L),sensor_repository_44618
FP7_b,Chlorophyll a (in situ) (ug/L),sensor_repository_83608
FP7_s,Chlorophyll a (in situ) (ug/L),sensor_repository_83370
GRE_b,Chlorophyll a (in situ) (ug/L),sensor_repository_68418
GRE_s,Chlorophyll a (in situ) (ug/L),sensor_repository_46522
HEA_b,Chlorophyll a (in situ) (ug/L),sensor_repository_62468
HEA_s,Chlorophyll a (in situ) (ug/L),sensor_repository_40096
HES_b,Chlorophyll a (in situ) (ug/L),sensor_repository_68656
HES_s,Chlorophyll a (in situ) (ug/L),sensor_repository_46760
JBC_b,Chlorophyll a (in situ) (ug/L),sensor_repository_75558
JBC_s,Chlorophyll a (in situ) (ug/L),sensor_repository_53662
KBT14_b,Chlorophyll a (in situ) (ug/L),sensor_repository_57470
KBT14_s,Chlorophyll a (in situ) (ug/L),sensor_repository_35336
KBT15_b,Chlorophyll a (in situ) (ug/L),sensor_repository_57708
KBT15_s,Chlorophyll a (in situ) (ug/L),sensor_repository_35574
KEN_b,Chlorophyll a (in situ) (ug/L),sensor_repository_67466
KEN_s,Chlorophyll a (in situ) (ug/L),sensor_repository_45570
KENU150_b,Chlorophyll a (in situ) (ug/L),sensor_repository_74130
KENU150_s,Chlorophyll a (in situ) (ug/L),sensor_repository_52234
KENU300_b,Chlorophyll a (in situ) (ug/L),sensor_repository_74368
KENU300_s,Chlorophyll a (in situ) (ug/L),sensor_repository_52472
KIN_b,Chlorophyll a (in situ) (ug/L),sensor_repository_61278
KIN_s,Chlorophyll a (in situ) (ug/L),sensor_repository_38906
KMO_b,Chlorophyll a (in situ) (ug/L),sensor_repository_63658
KMO_s,Chlorophyll a (in situ) (ug/L),sensor_repository_41286
KS7_b,Chlorophyll a (in situ) (ug/L),sensor_repository_76986
KS7_s,Chlorophyll a (in situ) (ug/L),sensor_repository_76510
KS9_b,Chlorophyll a (in situ) (ug/L),sensor_repository_77224
KS9_s,Chlorophyll a (in situ) (ug/L),sensor_repository_76748
LLH_b,Chlorophyll a (in situ) (ug/L),sensor_repository_58660
LLH_s,Chlorophyll a (in situ) (ug/L),sensor_repository_36526
MACD50_b,Chlorophyll a (in situ) (ug/L),sensor_repository_78652
MACD50_s,Chlorophyll a (in situ) (ug/L),sensor_repository_80794
MAS_b,Chlorophyll a (in situ) (ug/L),sensor_repository_68894
MAS_s,Chlorophyll a (in situ) (ug/L),sensor_repository_46998
MASD50_b,Chlorophyll a (in situ) (ug/L),sensor_repository_79128
MASD50_s,Chlorophyll a (in situ) (ug/L),sensor_repository_81270
MAY_b,Chlorophyll a (in situ) (ug/L),sensor_repository_60088
MAY_s,Chlorophyll a (in situ) (ug/L),sensor_repository_37716
MEAD_b,Chlorophyll a (in situ) (ug/L),sensor_repository_78176
MEAD_s,Chlorophyll a (in situ) (ug/L),sensor_repository_80318
MENDD_b,Chlorophyll a (in situ) (ug/L),sensor_repository_70798
MENDD_s,Chlorophyll a (in situ) (ug/L),sensor_repository_48902
MSB_b,Chlorophyll a (in situ) (ug/L),sensor_repository_61040
MSB_s,Chlorophyll a (in situ) (ug/L),sensor_repository_38668
MULB_b,Chlorophyll a (in situ) (ug/L),sensor_repository_60326
MULB_s,Chlorophyll a (in situ) (ug/L),sensor_repository_37954
NAR_b,Chlorophyll a (in situ) (ug/L),sensor_repository_59374
NAR_s,Chlorophyll a (in situ) (ug/L),sensor_repository_37002
NIC_b,Chlorophyll a (in situ) (ug/L),sensor_repository_61516
NIC_s,Chlorophyll a (in situ) (ug/L),sensor_repository_39144
NICD200_b,Chlorophyll a (in situ) (ug/L),sensor_repository_69370
NICD200_s,Chlorophyll a (in situ) (ug/L),sensor_repository_47474
NIL_b,Chlorophyll a (in situ) (ug/L),sensor_repository_59612
NIL_s,Chlorophyll a (in situ) (ug/L),sensor_repository_37240
NQ1_b,Chlorophyll a (in situ) (ug/L),sensor_repository_64848
NQ1_s,Chlorophyll a (in situ) (ug/L),sensor_repository_42952
NQ2_b,Chlorophyll a (in situ) (ug/L),sensor_repository_65086
NQ2_s,Chlorophyll a (in situ) (ug/L),sensor_repository_43190
P3_b,Chlorophyll a (in situ) (ug/L),sensor_repository_70560
P3_s,Chlorophyll a (in situ) (ug/L),sensor_repository_48664
PAC_b,Chlorophyll a (in situ) (ug/L),sensor_repository_79366
PAC_s,Chlorophyll a (in situ) (ug/L),sensor_repository_81508
