Site,s_graph_value,s_table_name
ELLENB1,Chlorophyll a (in situ) (ug/L),sensor_repository_05348
ELLENB1,Chlorophyll b (by vol) (mg/L),sensor_repository_05336
ELLENB1,Chlorophyll c (by vol) (mg/L),sensor_repository_05339
ELLENB1,Chlorophyll sample volume (mL),sensor_repository_05342
ELLENB1,Cloud cover (%),sensor_repository_05361
ELLENB1,Collection Method,sensor_repository_05259
ELLENB1,Conductivity @ 25 deg C (uS/cm),sensor_repository_05269
ELLENB1,Depth (m),sensor_repository_05262
ELLENB1,Depth _s (m),sensor_repository_05261
ELLENB1,Depth measuring point,sensor_repository_05260
ELLENB1,Depth To (m),sensor_repository_05263
ELLENB1,Dissolved Oxygen (% saturation),sensor_repository_05278
ELLENB1,Dissolved Oxygen (mg/L),sensor_repository_05275
ELLENB1,Flow status,sensor_repository_05363
ELLENB1,N (sum sol org) {DON} (ug/L),sensor_repository_05301
ELLENB1,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_05295
ELLENB1,N (tot kjel) {TKN} (ug/L),sensor_repository_05304
ELLENB1,N (tot) {TN pTN} (ug/L),sensor_repository_05292
ELLENB1,NH3-N/NH4-N (sol) (ug/L),sensor_repository_05298
ELLENB1,NO2-N (sol) (ug/L),sensor_repository_05307
ELLENB1,NO3-N (sol) (ug/L),sensor_repository_05310
ELLENB1,Null reading,sensor_repository_05359
ELLENB1,P (tot) {TP pTP} (ug/L),sensor_repository_05313
ELLENB1,pH,sensor_repository_05280
ELLENB1,Phaeophytin a (by vol) (mg/L),sensor_repository_05345
ELLENB1,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_05357
ELLENB1,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_05354
ELLENB1,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_05316
ELLENB1,Program Code,sensor_repository_05257
ELLENB1,Program Site Ref,sensor_repository_05256
ELLENB1,Salinity (ppt),sensor_repository_05266
ELLENB1,Sample Type,sensor_repository_05258
ELLENB1,Secchi depth (m),sensor_repository_05286
ELLENB1,Security Level,sensor_repository_05264
ELLENB1,SiO2 (sol react) (ug/L),sensor_repository_05325
ELLENB1,SiO2-Si (sol react) (ug/L),sensor_repository_05328
ELLENB1,Site Ref,sensor_repository_05255
ELLENB1,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_05331
ELLENB1,Temperature (deg C),sensor_repository_05272
ELLENB1,Tide status,sensor_repository_05364
ELLENB1,Turbidity (NTU),sensor_repository_05283
ELLENB1,Water level (SLE) (m),sensor_repository_05366
ELLENB1,Wind direction (°),sensor_repository_05369
ELLENB1,Wind speed (knot),sensor_repository_05372
ELLENB2,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_05557
ELLENB2,Bottom Depth (m),sensor_repository_05527
ELLENB2,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_05560
ELLENB2,Chlorophyll a (by vol) (mg/L),sensor_repository_05571
ELLENB2,Chlorophyll a (in situ) (RFU),sensor_repository_05589
ELLENB2,Chlorophyll a (in situ) (ug/L),sensor_repository_05586
ELLENB2,Chlorophyll b (by vol) (mg/L),sensor_repository_05574
ELLENB2,Chlorophyll c (by vol) (mg/L),sensor_repository_05577
ELLENB2,Chlorophyll sample volume (mL),sensor_repository_05580
ELLENB2,Cloud cover (%),sensor_repository_05599
ELLENB2,Collection Method,sensor_repository_05497
ELLENB2,Conductivity @ 25 deg C (uS/cm),sensor_repository_05507
ELLENB2,Depth (m),sensor_repository_05500
ELLENB2,Depth _s (m),sensor_repository_05499
ELLENB2,Depth measuring point,sensor_repository_05498
ELLENB2,Depth To (m),sensor_repository_05501
ELLENB2,Dissolved Oxygen (% saturation),sensor_repository_05516
ELLENB2,Dissolved Oxygen (mg/L),sensor_repository_05513
ELLENB2,Flow status,sensor_repository_05601
ELLENB2,N (sum sol org) {DON} (ug/L),sensor_repository_05539
ELLENB2,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_05533
ELLENB2,N (tot kjel) {TKN} (ug/L),sensor_repository_05542
ELLENB2,N (tot) {TN pTN} (ug/L),sensor_repository_05530
ELLENB2,NH3-N/NH4-N (sol) (ug/L),sensor_repository_05536
ELLENB2,NO2-N (sol) (ug/L),sensor_repository_05545
ELLENB2,NO3-N (sol) (ug/L),sensor_repository_05548
ELLENB2,Null reading,sensor_repository_05597
ELLENB2,P (tot) {TP pTP} (ug/L),sensor_repository_05551
ELLENB2,pH,sensor_repository_05518
ELLENB2,Phaeophytin a (by vol) (mg/L),sensor_repository_05583
ELLENB2,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_05595
ELLENB2,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_05592
ELLENB2,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_05554
ELLENB2,Program Code,sensor_repository_05495
ELLENB2,Program Site Ref,sensor_repository_05494
ELLENB2,Salinity (ppt),sensor_repository_05504
ELLENB2,Sample Type,sensor_repository_05496
ELLENB2,Secchi depth (m),sensor_repository_05524
ELLENB2,Security Level,sensor_repository_05502
ELLENB2,SiO2 (sol react) (ug/L),sensor_repository_05563
ELLENB2,SiO2-Si (sol react) (ug/L),sensor_repository_05566
ELLENB2,Site Ref,sensor_repository_05493
ELLENB2,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_05569
ELLENB2,Temperature (deg C),sensor_repository_05510
ELLENB2,Tide status,sensor_repository_05602
ELLENB2,Turbidity (NTU),sensor_repository_05521
ELLENB2,Water level (SLE) (m),sensor_repository_05604
ELLENB2,Wind direction (°),sensor_repository_05607
ELLENB2,Wind speed (knot),sensor_repository_05610
ELLISB,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_05795
ELLISB,Bottom Depth (m),sensor_repository_05765
ELLISB,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_05798
ELLISB,Chlorophyll a (by vol) (mg/L),sensor_repository_05809
ELLISB,Chlorophyll a (in situ) (RFU),sensor_repository_05827
ELLISB,Chlorophyll a (in situ) (ug/L),sensor_repository_05824
ELLISB,Chlorophyll b (by vol) (mg/L),sensor_repository_05812
ELLISB,Chlorophyll c (by vol) (mg/L),sensor_repository_05815
ELLISB,Chlorophyll sample volume (mL),sensor_repository_05818
ELLISB,Cloud cover (%),sensor_repository_05837
ELLISB,Collection Method,sensor_repository_05735
ELLISB,Conductivity @ 25 deg C (uS/cm),sensor_repository_05745
ELLISB,Depth (m),sensor_repository_05738
ELLISB,Depth _s (m),sensor_repository_05737
ELLISB,Depth measuring point,sensor_repository_05736
ELLISB,Depth To (m),sensor_repository_05739
ELLISB,Dissolved Oxygen (% saturation),sensor_repository_05754
ELLISB,Dissolved Oxygen (mg/L),sensor_repository_05751
ELLISB,Flow status,sensor_repository_05839
ELLISB,N (sum sol org) {DON} (ug/L),sensor_repository_05777
ELLISB,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_05771
ELLISB,N (tot kjel) {TKN} (ug/L),sensor_repository_05780
ELLISB,N (tot) {TN pTN} (ug/L),sensor_repository_05768
ELLISB,NH3-N/NH4-N (sol) (ug/L),sensor_repository_05774
ELLISB,NO2-N (sol) (ug/L),sensor_repository_05783
ELLISB,NO3-N (sol) (ug/L),sensor_repository_05786
ELLISB,Null reading,sensor_repository_05835
ELLISB,P (tot) {TP pTP} (ug/L),sensor_repository_05789
ELLISB,pH,sensor_repository_05756
ELLISB,Phaeophytin a (by vol) (mg/L),sensor_repository_05821
ELLISB,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_05833
ELLISB,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_05830
ELLISB,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_05792
ELLISB,Program Code,sensor_repository_05733
ELLISB,Program Site Ref,sensor_repository_05732
ELLISB,Salinity (ppt),sensor_repository_05742
ELLISB,Sample Type,sensor_repository_05734
ELLISB,Secchi depth (m),sensor_repository_05762
ELLISB,Security Level,sensor_repository_05740
ELLISB,SiO2 (sol react) (ug/L),sensor_repository_05801
ELLISB,SiO2-Si (sol react) (ug/L),sensor_repository_05804
ELLISB,Site Ref,sensor_repository_05731
ELLISB,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_05807
ELLISB,Temperature (deg C),sensor_repository_05748
ELLISB,Tide status,sensor_repository_05840
ELLISB,Turbidity (NTU),sensor_repository_05759
ELLISB,Water level (SLE) (m),sensor_repository_05842
ELLISB,Wind direction (°),sensor_repository_05845
ELLISB,Wind speed (knot),sensor_repository_05848
HELENR,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_06033
HELENR,Bottom Depth (m),sensor_repository_06003
HELENR,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_06036
HELENR,Chlorophyll a (by vol) (mg/L),sensor_repository_06047
HELENR,Chlorophyll a (in situ) (RFU),sensor_repository_06065
HELENR,Chlorophyll a (in situ) (ug/L),sensor_repository_06062
HELENR,Chlorophyll b (by vol) (mg/L),sensor_repository_06050
HELENR,Chlorophyll c (by vol) (mg/L),sensor_repository_06053
HELENR,Chlorophyll sample volume (mL),sensor_repository_06056
HELENR,Cloud cover (%),sensor_repository_06075
HELENR,Collection Method,sensor_repository_05973
HELENR,Conductivity @ 25 deg C (uS/cm),sensor_repository_05983
HELENR,Depth (m),sensor_repository_05976
HELENR,Depth _s (m),sensor_repository_05975
HELENR,Depth measuring point,sensor_repository_05974
HELENR,Depth To (m),sensor_repository_05977
HELENR,Dissolved Oxygen (% saturation),sensor_repository_05992
HELENR,Dissolved Oxygen (mg/L),sensor_repository_05989
HELENR,Flow status,sensor_repository_06077
HELENR,N (sum sol org) {DON} (ug/L),sensor_repository_06015
HELENR,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_06009
HELENR,N (tot kjel) {TKN} (ug/L),sensor_repository_06018
HELENR,N (tot) {TN pTN} (ug/L),sensor_repository_06006
HELENR,NH3-N/NH4-N (sol) (ug/L),sensor_repository_06012
HELENR,NO2-N (sol) (ug/L),sensor_repository_06021
HELENR,NO3-N (sol) (ug/L),sensor_repository_06024
HELENR,Null reading,sensor_repository_06073
HELENR,P (tot) {TP pTP} (ug/L),sensor_repository_06027
HELENR,pH,sensor_repository_05994
HELENR,Phaeophytin a (by vol) (mg/L),sensor_repository_06059
HELENR,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_06071
HELENR,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_06068
HELENR,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_06030
HELENR,Program Code,sensor_repository_05971
HELENR,Program Site Ref,sensor_repository_05970
HELENR,Salinity (ppt),sensor_repository_05980
HELENR,Sample Type,sensor_repository_05972
HELENR,Secchi depth (m),sensor_repository_06000
HELENR,Security Level,sensor_repository_05978
HELENR,SiO2 (sol react) (ug/L),sensor_repository_06039
HELENR,SiO2-Si (sol react) (ug/L),sensor_repository_06042
HELENR,Site Ref,sensor_repository_05969
HELENR,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_06045
HELENR,Temperature (deg C),sensor_repository_05986
HELENR,Tide status,sensor_repository_06078
HELENR,Turbidity (NTU),sensor_repository_05997
HELENR,Water level (SLE) (m),sensor_repository_06080
HELENR,Wind direction (°),sensor_repository_06083
HELENR,Wind speed (knot),sensor_repository_06086
HENLB,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_06271
HENLB,Bottom Depth (m),sensor_repository_06241
HENLB,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_06274
HENLB,Chlorophyll a (by vol) (mg/L),sensor_repository_06285
HENLB,Chlorophyll a (in situ) (RFU),sensor_repository_06303
HENLB,Chlorophyll a (in situ) (ug/L),sensor_repository_06300
HENLB,Chlorophyll b (by vol) (mg/L),sensor_repository_06288
HENLB,Chlorophyll c (by vol) (mg/L),sensor_repository_06291
HENLB,Chlorophyll sample volume (mL),sensor_repository_06294
HENLB,Cloud cover (%),sensor_repository_06313
HENLB,Collection Method,sensor_repository_06211
HENLB,Conductivity @ 25 deg C (uS/cm),sensor_repository_06221
HENLB,Depth (m),sensor_repository_06214
HENLB,Depth _s (m),sensor_repository_06213
HENLB,Depth measuring point,sensor_repository_06212
HENLB,Depth To (m),sensor_repository_06215
HENLB,Dissolved Oxygen (% saturation),sensor_repository_06230
HENLB,Dissolved Oxygen (mg/L),sensor_repository_06227
HENLB,Flow status,sensor_repository_06315
HENLB,N (sum sol org) {DON} (ug/L),sensor_repository_06253
HENLB,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_06247
HENLB,N (tot kjel) {TKN} (ug/L),sensor_repository_06256
HENLB,N (tot) {TN pTN} (ug/L),sensor_repository_06244
HENLB,NH3-N/NH4-N (sol) (ug/L),sensor_repository_06250
HENLB,NO2-N (sol) (ug/L),sensor_repository_06259
HENLB,NO3-N (sol) (ug/L),sensor_repository_06262
HENLB,Null reading,sensor_repository_06311
HENLB,P (tot) {TP pTP} (ug/L),sensor_repository_06265
HENLB,pH,sensor_repository_06232
HENLB,Phaeophytin a (by vol) (mg/L),sensor_repository_06297
HENLB,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_06309
HENLB,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_06306
HENLB,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_06268
HENLB,Program Code,sensor_repository_06209
HENLB,Program Site Ref,sensor_repository_06208
HENLB,Salinity (ppt),sensor_repository_06218
HENLB,Sample Type,sensor_repository_06210
HENLB,Secchi depth (m),sensor_repository_06238
HENLB,Security Level,sensor_repository_06216
HENLB,SiO2 (sol react) (ug/L),sensor_repository_06277
HENLB,SiO2-Si (sol react) (ug/L),sensor_repository_06280
HENLB,Site Ref,sensor_repository_06207
HENLB,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_06283
HENLB,Temperature (deg C),sensor_repository_06224
HENLB,Tide status,sensor_repository_06316
HENLB,Turbidity (NTU),sensor_repository_06235
HENLB,Water level (SLE) (m),sensor_repository_06318
HENLB,Wind direction (°),sensor_repository_06321
HENLB,Wind speed (knot),sensor_repository_06324
HR02,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_06509
HR02,Bottom Depth (m),sensor_repository_06479
HR02,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_06512
HR02,Chlorophyll a (by vol) (mg/L),sensor_repository_06523
HR02,Chlorophyll a (in situ) (RFU),sensor_repository_06541
HR02,Chlorophyll a (in situ) (ug/L),sensor_repository_06538
HR02,Chlorophyll b (by vol) (mg/L),sensor_repository_06526
HR02,Chlorophyll c (by vol) (mg/L),sensor_repository_06529
HR02,Chlorophyll sample volume (mL),sensor_repository_06532
HR02,Cloud cover (%),sensor_repository_06551
HR02,Collection Method,sensor_repository_06449
HR02,Conductivity @ 25 deg C (uS/cm),sensor_repository_06459
HR02,Depth (m),sensor_repository_06452
HR02,Depth _s (m),sensor_repository_06451
HR02,Depth measuring point,sensor_repository_06450
HR02,Depth To (m),sensor_repository_06453
HR02,Dissolved Oxygen (% saturation),sensor_repository_06468
HR02,Dissolved Oxygen (mg/L),sensor_repository_06465
HR02,Flow status,sensor_repository_06553
HR02,N (sum sol org) {DON} (ug/L),sensor_repository_06491
HR02,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_06485
HR02,N (tot kjel) {TKN} (ug/L),sensor_repository_06494
HR02,N (tot) {TN pTN} (ug/L),sensor_repository_06482
HR02,NH3-N/NH4-N (sol) (ug/L),sensor_repository_06488
HR02,NO2-N (sol) (ug/L),sensor_repository_06497
HR02,NO3-N (sol) (ug/L),sensor_repository_06500
HR02,Null reading,sensor_repository_06549
HR02,P (tot) {TP pTP} (ug/L),sensor_repository_06503
HR02,pH,sensor_repository_06470
HR02,Phaeophytin a (by vol) (mg/L),sensor_repository_06535
HR02,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_06547
HR02,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_06544
HR02,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_06506
HR02,Program Code,sensor_repository_06447
HR02,Program Site Ref,sensor_repository_06446
HR02,Salinity (ppt),sensor_repository_06456
HR02,Sample Type,sensor_repository_06448
HR02,Secchi depth (m),sensor_repository_06476
HR02,Security Level,sensor_repository_06454
HR02,SiO2 (sol react) (ug/L),sensor_repository_06515
HR02,SiO2-Si (sol react) (ug/L),sensor_repository_06518
HR02,Site Ref,sensor_repository_06445
HR02,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_06521
HR02,Temperature (deg C),sensor_repository_06462
HR02,Tide status,sensor_repository_06554
HR02,Turbidity (NTU),sensor_repository_06473
HR02,Water level (SLE) (m),sensor_repository_06556
HR02,Wind direction (°),sensor_repository_06559
HR02,Wind speed (knot),sensor_repository_06562
JANEB,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_06747
JANEB,Bottom Depth (m),sensor_repository_06717
JANEB,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_06750
JANEB,Chlorophyll a (by vol) (mg/L),sensor_repository_06761
JANEB,Chlorophyll a (in situ) (RFU),sensor_repository_06779
JANEB,Chlorophyll a (in situ) (ug/L),sensor_repository_06776
JANEB,Chlorophyll b (by vol) (mg/L),sensor_repository_06764
JANEB,Chlorophyll c (by vol) (mg/L),sensor_repository_06767
JANEB,Chlorophyll sample volume (mL),sensor_repository_06770
JANEB,Cloud cover (%),sensor_repository_06789
JANEB,Collection Method,sensor_repository_06687
JANEB,Conductivity @ 25 deg C (uS/cm),sensor_repository_06697
JANEB,Depth (m),sensor_repository_06690
JANEB,Depth _s (m),sensor_repository_06689
JANEB,Depth measuring point,sensor_repository_06688
JANEB,Depth To (m),sensor_repository_06691
JANEB,Dissolved Oxygen (% saturation),sensor_repository_06706
JANEB,Dissolved Oxygen (mg/L),sensor_repository_06703
JANEB,Flow status,sensor_repository_06791
JANEB,N (sum sol org) {DON} (ug/L),sensor_repository_06729
JANEB,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_06723
JANEB,N (tot kjel) {TKN} (ug/L),sensor_repository_06732
JANEB,N (tot) {TN pTN} (ug/L),sensor_repository_06720
JANEB,NH3-N/NH4-N (sol) (ug/L),sensor_repository_06726
JANEB,NO2-N (sol) (ug/L),sensor_repository_06735
JANEB,NO3-N (sol) (ug/L),sensor_repository_06738
JANEB,Null reading,sensor_repository_06787
JANEB,P (tot) {TP pTP} (ug/L),sensor_repository_06741
JANEB,pH,sensor_repository_06708
JANEB,Phaeophytin a (by vol) (mg/L),sensor_repository_06773
JANEB,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_06785
JANEB,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_06782
JANEB,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_06744
JANEB,Program Code,sensor_repository_06685
JANEB,Program Site Ref,sensor_repository_06684
JANEB,Salinity (ppt),sensor_repository_06694
JANEB,Sample Type,sensor_repository_06686
JANEB,Secchi depth (m),sensor_repository_06714
JANEB,Security Level,sensor_repository_06692
JANEB,SiO2 (sol react) (ug/L),sensor_repository_06753
JANEB,SiO2-Si (sol react) (ug/L),sensor_repository_06756
JANEB,Site Ref,sensor_repository_06683
JANEB,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_06759
JANEB,Temperature (deg C),sensor_repository_06700
JANEB,Tide status,sensor_repository_06792
JANEB,Turbidity (NTU),sensor_repository_06711
JANEB,Water level (SLE) (m),sensor_repository_06794
JANEB,Wind direction (°),sensor_repository_06797
JANEB,Wind speed (knot),sensor_repository_06800
JHARDO,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_06985
JHARDO,Bottom Depth (m),sensor_repository_06955
JHARDO,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_06988
JHARDO,Chlorophyll a (by vol) (mg/L),sensor_repository_06999
JHARDO,Chlorophyll a (in situ) (RFU),sensor_repository_07017
JHARDO,Chlorophyll a (in situ) (ug/L),sensor_repository_07014
JHARDO,Chlorophyll b (by vol) (mg/L),sensor_repository_07002
JHARDO,Chlorophyll c (by vol) (mg/L),sensor_repository_07005
JHARDO,Chlorophyll sample volume (mL),sensor_repository_07008
JHARDO,Cloud cover (%),sensor_repository_07027
JHARDO,Collection Method,sensor_repository_06925
JHARDO,Conductivity @ 25 deg C (uS/cm),sensor_repository_06935
JHARDO,Depth (m),sensor_repository_06928
JHARDO,Depth _s (m),sensor_repository_06927
JHARDO,Depth measuring point,sensor_repository_06926
JHARDO,Depth To (m),sensor_repository_06929
JHARDO,Dissolved Oxygen (% saturation),sensor_repository_06944
JHARDO,Dissolved Oxygen (mg/L),sensor_repository_06941
JHARDO,Flow status,sensor_repository_07029
JHARDO,N (sum sol org) {DON} (ug/L),sensor_repository_06967
JHARDO,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_06961
JHARDO,N (tot kjel) {TKN} (ug/L),sensor_repository_06970
JHARDO,N (tot) {TN pTN} (ug/L),sensor_repository_06958
JHARDO,NH3-N/NH4-N (sol) (ug/L),sensor_repository_06964
JHARDO,NO2-N (sol) (ug/L),sensor_repository_06973
JHARDO,NO3-N (sol) (ug/L),sensor_repository_06976
JHARDO,Null reading,sensor_repository_07025
JHARDO,P (tot) {TP pTP} (ug/L),sensor_repository_06979
JHARDO,pH,sensor_repository_06946
JHARDO,Phaeophytin a (by vol) (mg/L),sensor_repository_07011
JHARDO,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_07023
JHARDO,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_07020
JHARDO,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_06982
JHARDO,Program Code,sensor_repository_06923
JHARDO,Program Site Ref,sensor_repository_06922
JHARDO,Salinity (ppt),sensor_repository_06932
JHARDO,Sample Type,sensor_repository_06924
JHARDO,Secchi depth (m),sensor_repository_06952
JHARDO,Security Level,sensor_repository_06930
JHARDO,SiO2 (sol react) (ug/L),sensor_repository_06991
JHARDO,SiO2-Si (sol react) (ug/L),sensor_repository_06994
JHARDO,Site Ref,sensor_repository_06921
JHARDO,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_06997
JHARDO,Temperature (deg C),sensor_repository_06938
JHARDO,Tide status,sensor_repository_07030
JHARDO,Turbidity (NTU),sensor_repository_06949
JHARDO,Water level (SLE) (m),sensor_repository_07032
JHARDO,Wind direction (°),sensor_repository_07035
JHARDO,Wind speed (knot),sensor_repository_07038
LACDD,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_07223
LACDD,Bottom Depth (m),sensor_repository_07193
LACDD,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_07226
LACDD,Chlorophyll a (by vol) (mg/L),sensor_repository_07237
LACDD,Chlorophyll a (in situ) (RFU),sensor_repository_07255
LACDD,Chlorophyll a (in situ) (ug/L),sensor_repository_07252
LACDD,Chlorophyll b (by vol) (mg/L),sensor_repository_07240
LACDD,Chlorophyll c (by vol) (mg/L),sensor_repository_07243
LACDD,Chlorophyll sample volume (mL),sensor_repository_07246
LACDD,Cloud cover (%),sensor_repository_07265
LACDD,Collection Method,sensor_repository_07163
LACDD,Conductivity @ 25 deg C (uS/cm),sensor_repository_07173
LACDD,Depth (m),sensor_repository_07166
LACDD,Depth _s (m),sensor_repository_07165
LACDD,Depth measuring point,sensor_repository_07164
LACDD,Depth To (m),sensor_repository_07167
LACDD,Dissolved Oxygen (% saturation),sensor_repository_07182
LACDD,Dissolved Oxygen (mg/L),sensor_repository_07179
LACDD,Flow status,sensor_repository_07267
LACDD,N (sum sol org) {DON} (ug/L),sensor_repository_07205
LACDD,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_07199
LACDD,N (tot kjel) {TKN} (ug/L),sensor_repository_07208
LACDD,N (tot) {TN pTN} (ug/L),sensor_repository_07196
LACDD,NH3-N/NH4-N (sol) (ug/L),sensor_repository_07202
LACDD,NO2-N (sol) (ug/L),sensor_repository_07211
LACDD,NO3-N (sol) (ug/L),sensor_repository_07214
LACDD,Null reading,sensor_repository_07263
LACDD,P (tot) {TP pTP} (ug/L),sensor_repository_07217
LACDD,pH,sensor_repository_07184
LACDD,Phaeophytin a (by vol) (mg/L),sensor_repository_07249
LACDD,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_07261
LACDD,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_07258
LACDD,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_07220
LACDD,Program Code,sensor_repository_07161
LACDD,Program Site Ref,sensor_repository_07160
LACDD,Salinity (ppt),sensor_repository_07170
LACDD,Sample Type,sensor_repository_07162
LACDD,Secchi depth (m),sensor_repository_07190
LACDD,Security Level,sensor_repository_07168
LACDD,SiO2 (sol react) (ug/L),sensor_repository_07229
LACDD,SiO2-Si (sol react) (ug/L),sensor_repository_07232
LACDD,Site Ref,sensor_repository_07159
LACDD,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_07235
LACDD,Temperature (deg C),sensor_repository_07176
LACDD,Tide status,sensor_repository_07268
LACDD,Turbidity (NTU),sensor_repository_07187
LACDD,Water level (SLE) (m),sensor_repository_07270
LACDD,Wind direction (°),sensor_repository_07273
LACDD,Wind speed (knot),sensor_repository_07276
LAMDO,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_07461
LAMDO,Bottom Depth (m),sensor_repository_07431
LAMDO,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_07464
LAMDO,Chlorophyll a (by vol) (mg/L),sensor_repository_07475
LAMDO,Chlorophyll a (in situ) (RFU),sensor_repository_07493
LAMDO,Chlorophyll a (in situ) (ug/L),sensor_repository_07490
LAMDO,Chlorophyll b (by vol) (mg/L),sensor_repository_07478
LAMDO,Chlorophyll c (by vol) (mg/L),sensor_repository_07481
LAMDO,Chlorophyll sample volume (mL),sensor_repository_07484
LAMDO,Cloud cover (%),sensor_repository_07503
LAMDO,Collection Method,sensor_repository_07401
LAMDO,Conductivity @ 25 deg C (uS/cm),sensor_repository_07411
LAMDO,Depth (m),sensor_repository_07404
LAMDO,Depth _s (m),sensor_repository_07403
LAMDO,Depth measuring point,sensor_repository_07402
LAMDO,Depth To (m),sensor_repository_07405
LAMDO,Dissolved Oxygen (% saturation),sensor_repository_07420
LAMDO,Dissolved Oxygen (mg/L),sensor_repository_07417
LAMDO,Flow status,sensor_repository_07505
LAMDO,N (sum sol org) {DON} (ug/L),sensor_repository_07443
LAMDO,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_07437
LAMDO,N (tot kjel) {TKN} (ug/L),sensor_repository_07446
LAMDO,N (tot) {TN pTN} (ug/L),sensor_repository_07434
LAMDO,NH3-N/NH4-N (sol) (ug/L),sensor_repository_07440
LAMDO,NO2-N (sol) (ug/L),sensor_repository_07449
LAMDO,NO3-N (sol) (ug/L),sensor_repository_07452
LAMDO,Null reading,sensor_repository_07501
LAMDO,P (tot) {TP pTP} (ug/L),sensor_repository_07455
LAMDO,pH,sensor_repository_07422
LAMDO,Phaeophytin a (by vol) (mg/L),sensor_repository_07487
LAMDO,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_07499
LAMDO,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_07496
LAMDO,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_07458
LAMDO,Program Code,sensor_repository_07399
LAMDO,Program Site Ref,sensor_repository_07398
LAMDO,Salinity (ppt),sensor_repository_07408
LAMDO,Sample Type,sensor_repository_07400
LAMDO,Secchi depth (m),sensor_repository_07428
LAMDO,Security Level,sensor_repository_07406
LAMDO,SiO2 (sol react) (ug/L),sensor_repository_07467
LAMDO,SiO2-Si (sol react) (ug/L),sensor_repository_07470
